date,id_reg,desc_reg,load_mwmed
2000-03-10 00:00:00,N,NORTE,2446.86666667
2000-03-10 00:00:00,NE,NORDESTE,6072.06666667
2000-03-11 00:00:00,N,NORTE,2352.84583333
2000-03-11 00:00:00,NE,NORDESTE,5701.15
2000-03-11 00:00:00,S,SUL,6348.4
2000-03-11 00:00:00,SE,SUDESTE,23962.8125
2000-03-12 00:00:00,SE,SUDESTE,21255.05833333
2000-03-12 00:00:00,S,SUL,5342.35833333
2000-03-12 00:00:00,N,NORTE,2297.45416667
2000-03-12 00:00:00,NE,NORDESTE,5327.85416667
2000-03-13 00:00:00,N,NORTE,2451.68333333
2000-03-13 00:00:00,NE,NORDESTE,6034.44583333
2000-03-13 00:00:00,S,SUL,7035.9
2000-03-13 00:00:00,SE,SUDESTE,25229.15416667
2000-03-14 00:00:00,N,NORTE,2486.075
2000-03-14 00:00:00,NE,NORDESTE,6168.49166667
2000-03-14 00:00:00,S,SUL,7364.44166667
2000-03-14 00:00:00,SE,SUDESTE,26145.59583333
2000-03-15 00:00:00,N,NORTE,2482.82083333
2000-03-15 00:00:00,NE,NORDESTE,6123.15416667
2000-03-15 00:00:00,S,SUL,7451.60833333
2000-03-15 00:00:00,SE,SUDESTE,26625.92083333
2000-03-16 00:00:00,SE,SUDESTE,27153.69166667
2000-03-16 00:00:00,S,SUL,7565.32916667
2000-03-16 00:00:00,N,NORTE,2465.13333333
2000-03-16 00:00:00,NE,NORDESTE,6150.875
2000-03-17 00:00:00,N,NORTE,2457.2875
2000-03-17 00:00:00,NE,NORDESTE,6127.22916667
2000-03-17 00:00:00,S,SUL,7564.2625
2000-03-17 00:00:00,SE,SUDESTE,27362.45833333
2000-03-18 00:00:00,N,NORTE,2353.25
2000-03-18 00:00:00,NE,NORDESTE,5751.72916667
2000-03-18 00:00:00,S,SUL,6542.55416667
2000-03-18 00:00:00,SE,SUDESTE,24974.38333333
2000-03-19 00:00:00,N,NORTE,2232.45416667
2000-03-19 00:00:00,NE,NORDESTE,4485.20833333
2000-03-19 00:00:00,S,SUL,5408.80291667
2000-03-19 00:00:00,SE,SUDESTE,21824.45991625
2000-03-20 00:00:00,S,SUL,7058.7375
